date,pct_change
2014-12-28,4.26590790926639
2015-01-04,1.2486731304119236
2015-01-11,-2.105625265593911
2015-01-18,-2.17025262938825
2015-01-25,1.869895220369197
2015-02-01,0.6807667687395991
2015-02-08,1.4441729005889081
2015-02-15,1.706183303624054
2015-02-22,0.9683208029503731
2015-03-01,1.0886699903859487
2015-03-08,-1.0080582329808376
2015-03-15,-0.6164196277975903
2015-03-22,0.5744353197692657
2015-03-29,-1.7674767662279645
2015-04-05,-1.5411589805145205
2015-04-12,3.138260690554484
2015-04-19,4.501442430360023
2015-04-26,3.8668011048268394
2015-05-03,2.994705981896355
2015-05-10,0.5812310603445914
2015-05-17,3.2693407577353994
2015-05-24,-0.7635476032263646
2015-05-31,0.4387002523463024
2015-06-07,1.0506441126291421
2015-06-14,0.22856462247579923
2015-06-21,0.5092474504490269
2015-06-28,-0.7462413110299411
2015-07-05,-0.037503464641119776
2015-07-12,-1.419853312432948
2015-07-19,6.584906829049592
2015-07-26,4.725269520524112
2015-08-02,-1.555269904029588
2015-08-09,-2.731448607874457
2015-08-16,-0.9055738628194799
2015-08-23,-2.4661939662563648
2015-08-30,-5.869361322562283
2015-09-06,0.34496750405291765
2015-09-13,-1.1964801799184999
2015-09-20,1.992238955176202
2015-09-27,-3.3468550902463745
2015-10-04,-3.3895512043482823
2015-10-11,0.8432290098601932
2015-10-18,1.6693501317711634
2015-10-25,4.839745536311279
2015-11-01,6.96978140251507
2015-11-08,4.164543983832996
2015-11-15,-1.3389334759427252
2015-11-22,-0.9668845475868049
2015-11-29,0.7939563388004656
2015-12-06,3.2452514265056536
2015-12-13,-1.1706046182445946
2015-12-20,-1.8452417376861205
2015-12-27,0.6452918389445905
2016-01-03,1.127990758694648
2016-01-10,-5.316736462298521
2016-01-17,-3.365015934499258
2016-01-24,-3.181599193178035
2016-01-31,0.33549031420184283
2016-02-07,0.6388667219726396
2016-02-14,-8.18281911618067
2016-02-21,-0.7814431701561908
2016-02-28,0.20275075353788918
2016-03-06,3.7566492144321373
2016-03-13,-1.441128575519297
2016-03-20,2.317130801293823
2016-03-27,0.8614043868537703
2016-04-03,0.6612670217111272
2016-04-10,7.086372547455776
2016-04-17,1.7125507021296158
2016-04-24,1.4838933928875502
2016-05-01,-3.269509347822967
2016-05-08,-3.514970983407042
2016-05-15,4.328312560124479
2016-05-22,0.6252666628995819
2016-05-29,0.8217105271046311
2016-06-05,0.2493404098030827
2016-06-12,0.48212676100306995
2016-06-19,-1.5530922231140543
2016-06-26,-3.203748785546014
2016-07-03,-2.7360940849051985
2016-07-10,5.95635269749657
2016-07-17,3.288895499554112
2016-07-24,0.7787859710923172
2016-07-31,-1.529463874250536
2016-08-07,2.2479252684757767
2016-08-14,5.06226625078702
2016-08-21,3.0524706554842203
2016-08-28,-1.043023883867713
2016-09-04,1.581081052094983
2016-09-11,0.764590570025223
2016-09-18,-1.3633235157137213
2016-09-25,0.6211533106642442
2016-10-02,-0.6528534112896422
2016-10-09,0.4059963165025371
2016-10-16,2.0891039569211456
2016-10-23,0.0265871912488679
2016-10-30,-0.5837642477125883
2016-11-06,-3.605741358855254
2016-11-13,4.499569913941473
2016-11-20,6.465193318528775
2016-11-27,-1.9026293807419048
2016-12-04,0.1274969399659076
2016-12-11,4.630589026352787
2016-12-18,2.021455037270916
2016-12-25,3.272582014997252
2017-01-01,1.623872519420393
2017-01-08,-0.08182347037227747
2017-01-15,0.8149045264815612
2017-01-22,-1.6062029476743929
2017-01-29,1.350233713218576
2017-02-05,2.679754652068273
2017-02-12,1.8872244614315075
2017-02-19,2.56779202410818
2017-02-26,-0.36163856411912
2017-03-05,-0.014496772240601974
2017-03-12,-1.191532513736504
2017-03-19,0.2584739171226592
2017-03-26,-0.6544598975222216
2017-04-02,2.013566496388899
2017-04-09,1.1693703328779839
2017-04-16,-1.228067128706376
2017-04-23,-1.5266268498771085
2017-04-30,3.7592732311556754
2017-05-07,2.666783474889778
2017-05-14,4.805209912717787
2017-05-21,5.790105703094041
2017-05-28,1.3488549927185733
2017-06-04,2.9009225643792935
2017-06-11,3.808995219090612
2017-06-18,-0.09821227795491225
2017-06-25,2.4406418695991494
2017-07-02,-1.3347036887593244
2017-07-09,-2.8925540681313766
2017-07-16,3.3109183635229216
2017-07-23,1.5372473843981083
2017-07-30,0.7282316473262629
2017-08-06,1.1270548282336512
2017-08-13,1.9609571422806262
2017-08-20,0.058302860131600465
2017-08-27,0.6827823387604393
2017-09-03,3.5591641941965158
2017-09-10,-4.7857060326570116
2017-09-17,3.600511085755109
2017-09-24,1.9382923390664586
2017-10-01,-3.421160254006421
2017-10-08,3.018768437867805
2017-10-15,0.8774093979214115
2017-10-22,0.8305614437537745
2017-10-29,-1.3318448160329788
2017-11-05,2.346745616872336
2017-11-12,0.5589128608105055
2017-11-19,-3.8421433051370273
2017-11-26,1.6763396207547965
2017-12-03,-1.4217112483991268
2017-12-10,0.38314403211346965
2017-12-17,2.324585544598907
2017-12-24,0.852893783752311
2017-12-31,-1.668793116697438
2018-01-07,3.744450925115763
2018-01-14,3.3146266527150914
2018-01-21,-1.7095208162802384
2018-01-28,3.478301416258811
2018-02-04,3.8963041216839445
2018-02-11,-6.329019482854446
2018-02-18,4.161340792860364
2018-02-25,7.266971060916907
2018-03-04,0.48204077268182877
2018-03-11,0.8566335717839891
2018-03-18,1.6137103704737688
2018-03-25,-3.819834081029696
2018-04-01,-6.424272187454581
2018-04-08,-1.5757179698853307
2018-04-15,8.313187921852965
2018-04-22,1.5359759284847052
2018-04-29,-5.401624728995726
